,original_word,tokenized_by_bert
122,"tube
",['tube']
123,"low
",['low']
124,"present
",['present']
125,"but
",['but']
126,"where
",['where']
127,"use
",['use']
128,"transfer
",['transfer']
129,"its
",['its']
130,"range
",['range']
131,"both
",['both']
132,"stainless
",['stainless']
133,"made
",['made']
134,"observed
",['observed']
135,"given
",['given']
136,"method
",['method']
137,"strain
",['strain']
138,"value
",['value']
139,"increase
",['increase']
140,"above
",['above']
141,"some
",['some']
142,"process
",['process']
143,"metal
",['metal']
144,"sample
",['sample']
145,"studies
",['studies']
146,"atomic
",['atomic']
147,"und
",['und']
148,"large
",['large']
149,"properties
",['properties']
150,"there
",['there']
151,"coolant
","['cool', '##ant']"
152,"creep
",['creep']
153,"volume
",['volume']
154,"case
",['case']
155,"size
",['size']
156,"found
",['found']
157,"available
",['available']
158,"development
",['development']
159,"##g
","['#', '#', 'g']"
160,"work
",['work']
161,"tests
",['tests']
162,"based
",['based']
163,"total
",['total']
164,"maximum
",['maximum']
165,"higher
",['higher']
166,"could
",['could']
167,"lower
",['lower']
168,"fission
",['fission']
169,"measurements
",['measurements']
170,"region
",['region']
171,"same
",['same']
172,"liquid
",['liquid']
173,"various
",['various']
174,"their
",['their']
175,"experiments
",['experiments']
176,"first
",['first']
177,"irradiation
","['ir', '##rad', '##iation']"
178,"over
",['over']
179,"engineering
",['engineering']
180,"corrosion
",['corrosion']
181,"function
",['function']
182,"should
",['should']
183,"level
",['level']
184,"density
",['density']
185,"because
",['because']
186,"per
",['per']
187,"concentration
",['concentration']
188,"distribution
",['distribution']
189,"very
",['very']
190,"required
",['required']
191,"systems
",['systems']
192,"small
",['small']
193,"program
",['program']
194,"since
",['since']
195,"primary
",['primary']
196,"journal
",['journal']
197,"vessel
",['vessel']
198,"three
",['three']
199,"effects
",['effects']
200,"measured
",['measured']
201,"ratio
",['ratio']
202,"current
",['current']
203,"well
",['well']
204,"structure
",['structure']
205,"rod
",['rod']
206,"element
",['element']
207,"operation
",['operation']
208,"india
",['india']
209,"steam
",['steam']
210,"reactivity
","['react', '##ivity']"
211,"solution
",['solution']
212,"specimen
",['specimen']
213,"reported
",['reported']
214,"shows
",['shows']
215,"##al
","['#', '#', 'al']"
216,"uranium
",['uranium']
217,"order
",['order']
218,"being
",['being']
219,"centre
",['centre']
220,"calculated
",['calculated']
221,"oxide
",['oxide']
222,"alloy
",['alloy']
223,"form
",['form']
224,"##h
","['#', '#', 'h']"
225,"point
",['point']
226,"specimens
",['specimens']
227,"air
",['air']
228,"parameters
",['parameters']
229,"##c
","['#', '#', 'c']"
230,"elements
",['elements']
231,"samples
",['samples']
232,"possible
",['possible']
233,"calculations
",['calculations']
234,"reactors
",['reactors']
235,"within
",['within']
236,"change
",['change']
237,"thus
",['thus']
238,"most
",['most']
239,"components
",['components']
240,"area
",['area']
241,"safety
",['safety']
242,"eee
","['ee', '##e']"
243,"plant
",['plant']
244,"operating
",['operating']
245,"average
",['average']
246,"constant
",['constant']
247,"new
",['new']
248,"carried
",['carried']
249,"science
",['science']
250,"report
",['report']
251,"initial
",['initial']
252,"end
",['end']
253,"then
",['then']
254,"peak
",['peak']
255,"must
",['must']
256,"diameter
",['diameter']
257,"##z
","['#', '#', 'z']"
258,"blanket
",['blanket']
259,"weld
","['we', '##ld']"
260,"potential
",['potential']
261,"failure
",['failure']
262,"technology
",['technology']
263,"following
",['following']
264,"state
",['state']
265,"testing
",['testing']
266,"mass
",['mass']
267,"chemical
",['chemical']
268,"cross
",['cross']
269,"wall
",['wall']
270,"plutonium
","['pluto', '##nium']"
271,"reaction
",['reaction']
272,"methods
",['methods']
273,"group
",['group']
274,"factor
",['factor']
275,"velocity
",['velocity']
276,"less
",['less']
277,"experiment
",['experiment']
278,"axial
",['axial']
279,"formation
",['formation']
280,"assembly
",['assembly']
281,"capsule
",['capsule']
282,"indira
",['indira']
283,"information
",['information']
284,"radiation
",['radiation']
285,"general
",['general']
286,"further
",['further']
287,"##p
","['#', '#', 'p']"
288,"les
",['les']
289,"elsevier
","['else', '##vier']"
290,"cladding
","['clad', '##ding']"
291,"compared
",['compared']
292,"length
",['length']
293,"hydrogen
",['hydrogen']
294,"position
",['position']
295,"variation
",['variation']
296,"important
",['important']
297,"changes
",['changes']
298,"loop
",['loop']
299,"cell
",['cell']
300,"breeder
","['breed', '##er']"
301,"radial
",['radial']
302,"code
",['code']
303,"run
",['run']
304,"resistance
",['resistance']
305,"several
",['several']
306,"considered
",['considered']
307,"damage
",['damage']
308,"coefficient
",['coefficient']
309,"result
",['result']
310,"therefore
",['therefore']
311,"detector
",['detector']
312,"carbon
",['carbon']
313,"pin
",['pin']
314,"von
",['von']
315,"technique
",['technique']
316,"behavior
",['behavior']
317,"see
",['see']
318,"while
",['while']
319,"similar
",['similar']
320,"part
",['part']
321,"second
",['second']
322,"equation
",['equation']
323,"single
",['single']
324,"set
",['set']
325,"plate
",['plate']
326,"den
",['den']
327,"response
",['response']
328,"top
",['top']
329,"developed
",['developed']
330,"source
",['source']
331,"problem
",['problem']
332,"applied
",['applied']
333,"below
",['below']
334,"comparison
",['comparison']
335,"mechanical
",['mechanical']
336,"determined
",['determined']
337,"critical
",['critical']
338,"kalpakkam
","['ka', '##lp', '##ak', '##kam']"
339,"equipment
",['equipment']
340,"performance
",['performance']
341,"grain
",['grain']
342,"those
",['those']
343,"measurement
",['measurement']
344,"cycle
",['cycle']
345,"gandhi
",['gandhi']
346,"addition
",['addition']
347,"they
",['they']
348,"corresponding
",['corresponding']
349,"taken
",['taken']
350,"##ic
","['#', '#', 'ic']"
351,"frequency
",['frequency']
352,"pump
",['pump']
353,"load
",['load']
354,"rates
",['rates']
355,"bnwl
","['bn', '##wl']"
356,"oxygen
",['oxygen']
357,"received
",['received']
358,"division
",['division']
359,"spectrum
",['spectrum']
360,"performed
",['performed']
361,"composition
",['composition']
362,"had
",['had']
363,"structural
",['structural']
364,"without
",['without']
365,"along
",['along']
366,"leak
",['leak']
367,"##f
","['#', '#', 'f']"
368,"thickness
",['thickness']
369,"zone
",['zone']
370,"characteristics
",['characteristics']
371,"mit
",['mit']
372,"alloys
",['alloys']
373,"fatigue
",['fatigue']
374,"##ge
","['#', '#', 'ge']"
375,"##an
","['#', '#', 'an']"
376,"##x
","['#', '#', 'x']"
377,"normal
",['normal']
378,"reference
",['reference']
379,"##b
","['#', '#', 'b']"
380,"solid
",['solid']
381,"##on
","['#', '#', 'on']"
382,"ion
",['ion']
383,"before
",['before']
384,"acid
",['acid']
385,"field
",['field']
386,"significant
",['significant']
387,"cooling
",['cooling']
388,"increased
",['increased']
389,"inlet
",['inlet']
390,"techniques
",['techniques']
391,"##in
","['#', '#', 'in']"
392,"transient
",['transient']
393,"film
",['film']
394,"provide
",['provide']
395,"necessary
",['necessary']
396,"physics
",['physics']
397,"determine
",['determine']
398,"respectively
",['respectively']
399,"signal
",['signal']
400,"tubes
",['tubes']
401,"##k
","['#', '#', 'k']"
402,"expected
",['expected']
403,"deformation
",['deformation']
404,"subassembly
","['sub', '##asse', '##mb', '##ly']"
405,"show
",['show']
406,"matrix
",['matrix']
407,"laboratory
",['laboratory']
408,"drop
",['drop']
409,"strength
",['strength']
410,"hot
",['hot']
411,"unit
",['unit']
412,"layer
",['layer']
413,"abstract
",['abstract']
414,"boundary
",['boundary']
415,"period
",['period']
416,"amount
",['amount']
417,"cost
",['cost']
418,"paper
",['paper']
419,"presence
",['presence']
420,"condition
",['condition']
421,"line
",['line']
422,"particles
",['particles']
423,"content
",['content']
424,"magnetic
",['magnetic']
425,"good
",['good']
426,"presented
",['presented']
427,"seen
",['seen']
428,"problems
",['problems']
429,"much
",['much']
430,"nitrogen
",['nitrogen']
431,"reduction
",['reduction']
432,"associated
",['associated']
433,"##u
","['#', '#', 'u']"
434,"life
",['life']
435,"relative
",['relative']
436,"facility
",['facility']
437,"difference
",['difference']
438,"stresses
",['stresses']
439,"support
",['support']
440,"dec
",['dec']
441,"studied
",['studied']
442,"fraction
",['fraction']
443,"loading
",['loading']
444,"growth
",['growth']
445,"typical
",['typical']
446,"www
",['www']
447,"hence
",['hence']
448,"many
",['many']
449,"secondary
",['secondary']
450,"provided
",['provided']
451,"standard
",['standard']
452,"our
",['our']
453,"sections
",['sections']
454,"scale
",['scale']
455,"input
",['input']
456,"article
",['article']
457,"diffusion
",['diffusion']
458,"reduced
",['reduced']
459,"##w
","['#', '#', 'w']"
460,"sec
",['sec']
461,"outlet
",['outlet']
462,"assumed
",['assumed']
463,"four
",['four']
464,"heating
",['heating']
465,"even
",['even']
466,"fluid
",['fluid']
467,"evaluation
",['evaluation']
468,"release
",['release']
469,"electrochemical
","['electro', '##chemical']"
470,"steels
","['steel', '##s']"
471,"cases
",['cases']
472,"curve
",['curve']
473,"described
",['described']
474,"specific
",['specific']
475,"un
",['un']
476,"neutrons
","['neutron', '##s']"
477,"computer
",['computer']
478,"requirements
",['requirements']
479,"das
",['das']
480,"beam
",['beam']
481,"indicated
",['indicated']
482,"long
",['long']
483,"products
",['products']
484,"mercury
",['mercury']
485,"irradiated
","['ir', '##rad', '##iated']"
486,"calculation
",['calculation']
487,"decrease
",['decrease']
488,"b
",['b']
489,"rods
",['rods']
490,"center
",['center']
491,"main
",['main']
492,"approximately
",['approximately']
493,"mean
",['mean']
494,"behaviour
",['behaviour']
495,"ist
",['ist']
496,"increases
",['increases']
497,"containing
",['containing']
498,"upper
",['upper']
499,"loss
",['loss']
500,"conductivity
","['conduct', '##ivity']"
501,"bottom
",['bottom']
502,"molten
",['molten']
503,"known
",['known']
504,"mode
",['mode']
505,"approach
",['approach']
506,"product
",['product']
507,"near
",['near']
508,"tensile
","['tens', '##ile']"
509,"influence
",['influence']
510,"psi
",['psi']
511,"ebrii
","['e', '##bri', '##i']"
512,"increasing
",['increasing']
513,"showed
",['showed']
514,"crack
",['crack']
515,"major
",['major']
516,"salt
",['salt']
517,"par
",['par']
518,"minimum
",['minimum']
519,"introduction
",['introduction']
520,"does
",['does']
521,"tank
",['tank']
522,"gamma
",['gamma']
523,"free
",['free']
524,"spectra
",['spectra']
525,"physical
",['physical']
526,"cold
",['cold']
527,"non
",['non']
528,"vol
",['vol']
529,"component
",['component']
530,"welding
",['welding']
531,"although
",['although']
532,"helium
",['helium']
533,"effective
",['effective']
534,"applications
",['applications']
535,"electron
",['electron']
536,"full
",['full']
537,"expansion
",['expansion']
538,"lead
",['lead']
539,"equations
",['equations']
540,"contact
",['contact']
541,"auf
",['auf']
542,"graphite
","['graph', '##ite']"
543,"burnup
","['burn', '##up']"
544,"chemistry
",['chemistry']
545,"activity
",['activity']
546,"interface
",['interface']
547,"mechanism
",['mechanism']
548,"##re
","['#', '#', 're']"
549,"base
",['base']
550,"transport
",['transport']
551,"interaction
",['interaction']
552,"designed
",['designed']
553,"international
",['international']
554,"##te
","['#', '#', 'te']"
555,"additional
",['additional']
556,"dose
",['dose']
557,"detection
",['detection']
558,"electrode
",['electrode']
559,"filter
",['filter']
560,"bei
",['bei']
561,"cooled
",['cooled']
562,"##v
","['#', '#', 'v']"
563,"est
",['est']
564,"upon
",['upon']
565,"location
",['location']
566,"shield
",['shield']
567,"procedure
",['procedure']
568,"factors
",['factors']
569,"##or
","['#', '#', 'or']"
570,"step
",['step']
571,"down
",['down']
572,"either
",['either']
573,"occur
",['occur']
574,"application
",['application']
575,"university
",['university']
576,"linear
",['linear']
577,"##q
","['#', '#', 'q']"
578,"indicate
",['indicate']
579,"side
",['side']
580,"transition
",['transition']
581,"estimated
",['estimated']
582,"##ation
","['#', '#', 'at', '##ion']"
583,"discussed
",['discussed']
584,"levels
",['levels']
585,"regions
",['regions']
586,"direction
",['direction']
587,"around
",['around']
588,"room
",['room']
589,"online
",['online']
590,"series
",['series']
591,"central
",['central']
592,"anl
","['an', '##l']"
593,"n
",['n']
594,"times
",['times']
595,"basis
",['basis']
596,"removal
",['removal']
597,"formed
",['formed']
598,"containment
",['containment']
599,"channel
",['channel']
600,"##st
","['#', '#', 'st']"
601,"cover
",['cover']
602,"fuels
",['fuels']
603,"subassemblies
","['sub', '##asse', '##mb', '##lies']"
604,"curves
",['curves']
605,"##to
","['#', '#', 'to']"
606,"metals
",['metals']
607,"electrical
",['electrical']
608,"a
",['a']
609,"##able
","['#', '#', 'able']"
610,"obtain
",['obtain']
611,"fabrication
",['fabrication']
612,"fiir
","['fi', '##ir']"
613,"force
",['force']
614,"generator
",['generator']
615,"durch
","['du', '##rch']"
616,"inside
",['inside']
617,"boiling
",['boiling']
618,"pins
",['pins']
619,"yield
",['yield']
620,"outer
",['outer']
621,"min
",['min']
622,"tested
",['tested']
623,"inner
",['inner']
624,"films
",['films']
625,"relatively
",['relatively']
626,"resulting
",['resulting']
627,"particle
",['particle']
628,"eine
",['eine']
629,"states
",['states']
630,"werden
","['we', '##rden']"
631,"l
",['l']
632,"chamber
",['chamber']
633,"accident
",['accident']
634,"greater
",['greater']
635,"stability
",['stability']
636,"noise
",['noise']
637,"mixing
",['mixing']
638,"fracture
",['fracture']
639,"modified
",['modified']
640,"parameter
",['parameter']
641,"produced
",['produced']
642,"concrete
",['concrete']
643,"like
",['like']
644,"microstructure
","['micro', '##st', '##ru', '##cture']"
645,"example
",['example']
646,"agreement
",['agreement']
647,"quality
",['quality']
648,"intensity
",['intensity']
649,"circuit
",['circuit']
650,"final
",['final']
651,"complex
",['complex']
652,"re
",['re']
653,"prepared
",['prepared']
654,"thin
",['thin']
655,"here
",['here']
656,"distance
",['distance']
657,"terms
",['terms']
658,"contents
",['contents']
659,"plastic
",['plastic']
660,"accepted
",['accepted']
661,"geometry
",['geometry']
662,"v
",['v']
663,"removed
",['removed']
664,"environment
",['environment']
665,"voltage
",['voltage']
666,"complete
",['complete']
667,"instrumentation
",['instrumentation']
668,"located
",['located']
669,"internal
",['internal']
670,"dans
",['dans']
671,"limit
",['limit']
672,"view
",['view']
673,"void
",['void']
674,"shell
",['shell']
675,"une
",['une']
676,"space
",['space']
677,"melting
",['melting']
678,"limited
",['limited']
679,"weight
",['weight']
680,"storage
",['storage']
681,"generation
",['generation']
682,"ions
",['ions']
683,"t
",['t']
684,"##ung
","['#', '#', 'un', '##g']"
685,"mixed
",['mixed']
686,"##is
","['#', '#', 'is']"
687,"means
",['means']
688,"##é
","['#', '#', 'e']"
689,"plenum
","['pl', '##en', '##um']"
690,"handling
",['handling']
691,"aus
",['aus']
692,"output
",['output']
693,"models
",['models']
694,"exposure
",['exposure']
695,"##et
","['#', '#', 'et']"
696,"rise
",['rise']
697,"generated
",['generated']
698,"phases
",['phases']
699,"local
",['local']
700,"concept
",['concept']
701,"pipe
",['pipe']
702,"points
",['points']
703,"que
",['que']
704,"rupture
","['ru', '##pt', '##ure']"
705,"now
",['now']
706,"ultrasonic
","['ultra', '##sonic']"
707,"sensitivity
",['sensitivity']
708,"##ion
","['#', '#', 'ion']"
709,"having
",['having']
710,"interest
",['interest']
711,"united
",['united']
712,"defects
",['defects']
713,"f
",['f']
714,"error
",['error']
715,"institute
",['institute']
716,"treatment
",['treatment']
717,"larger
",['larger']
718,"few
",['few']
719,"department
",['department']
720,"types
",['types']
721,"discussion
",['discussion']
722,"lmfbr
","['l', '##m', '##fb', '##r']"
723,"figures
",['figures']
724,"detailed
",['detailed']
725,"proposed
",['proposed']
726,"sciencedirect
","['science', '##di', '##re', '##ct']"
727,"intermediate
",['intermediate']
728,"com
",['com']
729,"carbide
","['car', '##bid', '##e']"
730,"theory
",['theory']
731,"seal
",['seal']
732,"occurs
",['occurs']
733,"society
",['society']
734,"selected
",['selected']
735,"across
",['across']
736,"head
",['head']
737,"simple
",['simple']
738,"better
",['better']
739,"include
",['include']
740,"r
",['r']
741,"pre
",['pre']
742,"configuration
",['configuration']
743,"features
",['features']
744,"height
",['height']
745,"correlation
",['correlation']
746,"processes
",['processes']
747,"particular
",['particular']
748,"dynamic
",['dynamic']
749,"etc
",['etc']
750,"capacity
",['capacity']
751,"##ar
","['#', '#', 'ar']"
752,"history
",['history']
753,"reduce
",['reduce']
754,"decay
",['decay']
755,"zero
",['zero']
756,"lattice
",['lattice']
757,"clad
",['clad']
758,"indicates
",['indicates']
759,"ein
",['ein']
760,"vapor
",['vapor']
761,"shutdown
","['shut', '##down']"
762,"##j
","['#', '#', 'j']"
763,"plug
",['plug']
764,"boron
","['bo', '##ron']"
765,"nature
",['nature']
766,"valve
",['valve']
767,"account
",['account']
768,"laser
",['laser']
769,"description
",['description']
770,"done
",['done']
771,"structures
",['structures']
772,"theoretical
",['theoretical']
773,"national
",['national']
774,"place
",['place']
775,"investigation
",['investigation']
776,"gap
",['gap']
777,"overall
",['overall']
778,"give
",['give']
779,"accuracy
",['accuracy']
780,"inch
",['inch']
781,"cause
",['cause']
782,"argon
","['ar', '##gon']"
783,"investigated
",['investigated']
784,"related
",['related']
785,"##ment
","['#', '#', 'men', '##t']"
786,"oxidation
",['oxidation']
787,"dem
",['dem']
788,"direct
",['direct']
789,"simulation
",['simulation']
790,"wire
",['wire']
791,"actual
",['actual']
792,"building
",['building']
793,"glass
",['glass']
794,"##se
","['#', '#', 'se']"
795,"pour
",['pour']
796,"included
",['included']
797,"processing
",['processing']
798,"surfaces
",['surfaces']
799,"s
",['s']
800,"controlled
",['controlled']
801,"##nt
","['#', '#', 'nt']"
802,"acoustic
",['acoustic']
803,"extraction
",['extraction']
804,"depth
",['depth']
805,"vacuum
",['vacuum']
806,"efficiency
",['efficiency']
807,"coefficients
",['coefficients']
808,"p
",['p']
809,"including
",['including']
810,"shall
",['shall']
811,"m
",['m']
812,"close
",['close']
813,"date
",['date']
814,"conducted
",['conducted']
815,"thermocouple
","['the', '##rm', '##oco', '##up', '##le']"
816,"percent
",['percent']
817,"nickel
",['nickel']
818,"basic
",['basic']
819,"downloaded
",['downloaded']
820,"##as
","['#', '#', 'as']"
821,"wird
","['wi', '##rd']"
822,"equilibrium
",['equilibrium']
823,"plates
",['plates']
824,"swelling
",['swelling']
825,"##le
","['#', '#', 'le']"
826,"predicted
",['predicted']
827,"cycles
",['cycles']
828,"charge
",['charge']
829,"melt
",['melt']
830,"solutions
",['solutions']
831,"organic
",['organic']
832,"pattern
",['pattern']
833,"austenitic
","['austen', '##itic']"
834,"earlier
",['earlier']
835,"##us
","['#', '#', 'us']"
836,"appendix
",['appendix']
837,"respect
",['respect']
838,"light
",['light']
839,"measure
",['measure']
840,"##ne
","['#', '#', 'ne']"
841,"rather
",['rather']
842,"fact
",['fact']
843,"heated
",['heated']
844,"mixture
",['mixture']
845,"diagram
",['diagram']
846,"thermocouples
","['the', '##rm', '##oco', '##up', '##les']"
847,"prior
",['prior']
848,"natural
",['natural']
849,"analytical
",['analytical']
850,"production
",['production']
851,"speed
",['speed']
852,"areas
",['areas']
853,"special
",['special']
854,"exchanger
","['exchange', '##r']"
855,"pellets
","['pe', '##llet', '##s']"
856,"another
",['another']
857,"absorption
",['absorption']
858,"service
",['service']
859,"pue
","['pu', '##e']"
860,"equal
",['equal']
861,"elastic
",['elastic']
862,"monitoring
",['monitoring']
863,"leakage
","['leak', '##age']"
864,"costs
",['costs']
865,"displacement
",['displacement']
866,"determination
",['determination']
867,"defect
",['defect']
868,"external
",['external']
869,"concentrations
",['concentrations']
870,"pool
",['pool']
871,"until
",['until']
872,"magnitude
",['magnitude']
873,"waste
",['waste']
874,"site
",['site']
875,"dependence
",['dependence']
876,"con
",['con']
877,"sur
",['sur']
878,"xray
","['x', '##ray']"
879,"separation
",['separation']
880,"placed
",['placed']
881,"employed
",['employed']
882,"analyses
",['analyses']
883,"caused
",['caused']
884,"friction
",['friction']
885,"medium
",['medium']
886,"construction
",['construction']
887,"short
",['short']
888,"grid
",['grid']
889,"piping
","['pip', '##ing']"
890,"deposition
",['deposition']
891,"june
",['june']
892,"followed
",['followed']
893,"inspection
",['inspection']
894,"stage
",['stage']
895,"outside
",['outside']
896,"need
",['need']
897,"##ur
","['#', '#', 'ur']"
898,"produce
",['produce']
899,"established
",['established']
900,"variations
",['variations']
901,"september
",['september']
902,"compounds
",['compounds']
903,"equivalent
",['equivalent']
904,"way
",['way']
905,"directly
",['directly']
906,"optical
",['optical']
907,"against
",['against']
908,"instrument
",['instrument']
909,"finite
",['finite']
910,"might
",['might']
911,"atmosphere
",['atmosphere']
912,"sich
","['sic', '##h']"
913,"electric
",['electric']
914,"continuous
",['continuous']
915,"future
",['future']
916,"technical
",['technical']
917,"meltdown
","['melt', '##down']"
918,"summary
",['summary']
919,"calibration
","['cal', '##ib', '##ration']"
920,"consists
",['consists']
921,"powder
",['powder']
922,"years
",['years']
923,"gives
",['gives']
924,"in
",['in']
925,"supply
",['supply']
926,"bulk
",['bulk']
927,"details
",['details']
928,"pulse
",['pulse']
929,"radius
",['radius']
930,"examination
",['examination']
931,"nitric
","['ni', '##tric']"
932,"profile
",['profile']
933,"##at
","['#', '#', 'at']"
934,"defined
",['defined']
935,"d
",['d']
936,"pure
",['pure']
937,"last
",['last']
938,"j
",['j']
939,"generally
",['generally']
940,"iron
",['iron']
941,"experience
",['experience']
942,"raman
","['rama', '##n']"
943,"amplitude
",['amplitude']
944,"diffraction
","['di', '##ff', '##raction']"
945,"previous
",['previous']
946,"joint
",['joint']
947,"progress
",['progress']
948,"scattering
",['scattering']
949,"shape
",['shape']
950,"vertical
",['vertical']
951,"uniform
",['uniform']
952,"##ta
","['#', '#', 'ta']"
953,"loops
",['loops']
954,"k
",['k']
955,"h
",['h']
956,"certain
",['certain']
957,"##el
","['#', '#', 'el']"
958,"##ical
","['#', '#', 'ic', '##al']"
959,"furnace
",['furnace']
960,"october
",['october']
961,"follows
",['follows']
962,"dissolution
",['dissolution']
963,"simulated
",['simulated']
964,"significantly
",['significantly']
965,"make
",['make']
966,"published
",['published']
967,"ppm
","['pp', '##m']"
968,"mev
","['me', '##v']"
969,"##ant
","['#', '#', 'ant']"
970,"##os
","['#', '#', 'os']"
971,"sensor
",['sensor']
972,"feedback
",['feedback']
973,"appears
",['appears']
974,"leads
",['leads']
975,"heater
","['heat', '##er']"
976,"prevent
",['prevent']
977,"activation
",['activation']
978,"g
",['g']
979,"##ch
","['#', '#', 'ch']"
980,"crystal
",['crystal']
981,"proceedings
",['proceedings']
982,"signals
",['signals']
983,"revised
",['revised']
984,"rights
",['rights']
985,"probably
",['probably']
986,"boundaries
",['boundaries']
987,"atoms
",['atoms']
988,"coating
",['coating']
989,"angle
",['angle']
990,"attributed
",['attributed']
991,"cyclic
",['cyclic']
992,"suitable
",['suitable']
993,"conventional
",['conventional']
994,"scram
","['sc', '##ram']"
995,"lines
",['lines']
996,"negative
",['negative']
997,"purpose
",['purpose']
998,"pumps
",['pumps']
999,"inches
",['inches']
1000,"plants
",['plants']
1001,"preliminary
",['preliminary']
1002,"fftf
","['ff', '##tf']"
1003,"smaller
",['smaller']
1004,"positions
",['positions']
1005,"detectors
",['detectors']
1006,"quite
",['quite']
1007,"iii
",['iii']
1008,"stable
",['stable']
1009,"##ig
","['#', '#', 'i', '##g']"
1010,"portion
",['portion']
1011,"individual
",['individual']
1012,"noted
",['noted']
1013,"note
",['note']
1014,"nach
","['na', '##ch']"
1015,"dependent
",['dependent']
1016,"schematic
","['sc', '##hema', '##tic']"
1017,"##it
","['#', '#', 'it']"
1018,"off
",['off']
1019,"forces
",['forces']
1020,"versus
",['versus']
1021,"achieved
",['achieved']
1022,"needed
",['needed']
1023,"band
",['band']
1024,"tee
",['tee']
1025,"added
",['added']
1026,"facilities
",['facilities']
1027,"entire
",['entire']
1028,"modes
",['modes']
1029,"open
",['open']
1030,"extent
",['extent']
1031,"literature
",['literature']
1032,"provides
",['provides']
1033,"lists
",['lists']
1034,"cylinder
",['cylinder']
1035,"titanium
",['titanium']
1036,"row
",['row']
1037,"##ce
","['#', '#', 'ce']"
1038,"motion
",['motion']
1039,"##ve
","['#', '#', 've']"
1040,"induced
",['induced']
1041,"april
",['april']
1042,"wide
",['wide']
1043,"precipitation
",['precipitation']
1044,"chosen
",['chosen']
1045,"november
",['november']
1046,"cracking
",['cracking']
1047,"rapid
",['rapid']
1048,"locations
",['locations']
1049,"recorded
",['recorded']
1050,"appropriate
",['appropriate']
1051,"crmo
","['cr', '##mo']"
1052,"did
",['did']
1053,"positive
",['positive']
1054,"net
",['net']
1055,"operated
",['operated']
1056,"dislocation
","['di', '##sl', '##ocation']"
1057,"##th
","['#', '#', 'th']"
1058,"plane
",['plane']
1059,"highly
",['highly']
1060,"thick
",['thick']
1061,"##ie
","['#', '#', 'ie']"
1062,"annealing
","['anne', '##aling']"
1063,"device
",['device']
1064,"except
",['except']
1065,"numerical
",['numerical']
1066,"computed
",['computed']
1067,"third
",['third']
