,original_word,tokenized_by_bert
51,"meltdown
","['melt', '##down']"
52,"calibration
","['cal', '##ib', '##ration']"
53,"nitric
","['ni', '##tric']"
54,"raman
","['rama', '##n']"
55,"diffraction
","['di', '##ff', '##raction']"
56,"##ical
","['ic', '##al']"
57,"ppm
","['pp', '##m']"
58,"mev
","['me', '##v']"
59,"heater
","['heat', '##er']"
60,"scram
","['sc', '##ram']"
61,"fftf
","['ff', '##tf']"
62,"##ig
","['i', '##g']"
63,"nach
","['na', '##ch']"
64,"schematic
","['sc', '##hema', '##tic']"
65,"crmo
","['cr', '##mo']"
66,"dislocation
","['di', '##sl', '##ocation']"
67,"annealing
","['anne', '##aling']"
68,"transients
","['transient', '##s']"
69,"sind
","['sin', '##d']"
70,"doppler
","['do', '##pp', '##ler']"
71,"reflector
","['reflect', '##or']"
72,"homepa
","['home', '##pa']"
73,"coatings
","['coating', '##s']"
74,"##ive
","['iv', '##e']"
75,"aqueous
","['a', '##que', '##ous']"
76,"einer
","['eine', '##r']"
77,"##ent
","['en', '##t']"
78,"nozzle
","['no', '##zzle']"
79,"constants
","['constant', '##s']"
80,"kinetics
","['kinetic', '##s']"
81,"##ity
","['it', '##y']"
82,"kev
","['ke', '##v']"
83,"capsules
","['capsule', '##s']"
84,"reprocessing
","['rep', '##ro', '##ces', '##sing']"
85,"sem
","['se', '##m']"
86,"mpa
","['mp', '##a']"
87,"##nd
","['n', '##d']"
88,"##ance
","['an', '##ce']"
89,"annealed
","['anne', '##ale', '##d']"
90,"pellet
","['pe', '##llet']"
91,"igcar
","['i', '##gc', '##ar']"
92,"##ey
","['e', '##y']"
93,"ferrite
","['fe', '##rri', '##te']"
94,"##ay
","['a', '##y']"
95,"precipitates
","['pre', '##ci', '##pit', '##ates']"
96,"wurde
","['wu', '##rde']"
97,"saturation
","['sat', '##uration']"
98,"tem
","['te', '##m']"
99,"microstructural
","['micro', '##st', '##ru', '##ct', '##ural']"
100,"nucl
","['nu', '##cl']"
101,"inpile
","['in', '##pile']"
102,"nicht
","['nic', '##ht']"
103,"##od
","['o', '##d']"
104,"ferritic
","['fe', '##rri', '##tic']"
105,"oxides
","['oxide', '##s']"
106,"hightemperature
","['high', '##tem', '##per', '##at', '##ure']"
107,"cavitation
","['ca', '##vita', '##tion']"
108,"metallurgy
","['metal', '##lu', '##rgy']"
109,"electrolyte
","['electro', '##ly', '##te']"
110,"ver
","['ve', '##r']"
111,"unter
","['un', '##ter']"
112,"annular
","['ann', '##ular']"
113,"argonne
","['ar', '##gon', '##ne']"
114,"nanoparticles
","['nano', '##par', '##tic', '##les']"
115,"fluxes
","['flux', '##es']"
116,"auch
","['au', '##ch']"
117,"fermi
","['fe', '##rmi']"
118,"tungsten
","['tung', '##sten']"
119,"diese
","['dies', '##e']"
120,"tio
","['ti', '##o']"
121,"metallurgical
","['metal', '##lu', '##rg', '##ical']"
122,"bmi
","['b', '##mi']"
123,"aisi
","['ai', '##si']"
124,"electrodes
","['electrode', '##s']"
125,"xrd
","['x', '##rd']"
126,"inert
","['in', '##ert']"
127,"ductility
","['duct', '##ility']"
128,"fissile
","['fis', '##sil', '##e']"
129,"hardening
","['harden', '##ing']"
130,"##ers
","['er', '##s']"
131,"einem
","['eine', '##m']"
132,"##ine
","['in', '##e']"
133,"transducer
","['trans', '##du', '##cer']"
134,"thorium
","['thor', '##ium']"
135,"chromium
","['ch', '##rom', '##ium']"
136,"comlocate
","['com', '##lo', '##cate']"
137,"mol
","['mo', '##l']"
138,"aip
","['ai', '##p']"
139,"iodine
","['io', '##dine']"
140,"cathode
","['cat', '##ho', '##de']"
141,"sont
","['son', '##t']"
142,"mwe
","['mw', '##e']"
143,"absorber
","['absorb', '##er']"
144,"vapour
","['va', '##pour']"
145,"ooo
","['o', '##oo']"
146,"hexagonal
","['he', '##xa', '##gonal']"
147,"alumina
","['al', '##umi', '##na']"
148,"vor
","['vo', '##r']"
149,"optimum
","['opt', '##imum']"
150,"dispersion
","['di', '##sper', '##sion']"
151,"pnl
","['p', '##nl']"
152,"aerosol
","['aero', '##sol']"
153,"reaktor
","['re', '##ak', '##tor']"
154,"nucleation
","['nu', '##cle', '##ation']"
155,"solubility
","['sol', '##ub', '##ility']"
156,"ose
","['os', '##e']"
157,"viscosity
","['vis', '##cos', '##ity']"
158,"zirconium
","['z', '##ir', '##con', '##ium']"
159,"voids
","['void', '##s']"
160,"normalized
","['normal', '##ized']"
161,"carbides
","['car', '##bid', '##es']"
162,"wie
","['wi', '##e']"
163,"flange
","['fl', '##ange']"
164,"##uy
","['u', '##y']"
165,"##ue
","['u', '##e']"
166,"keywords
","['key', '##words']"
167,"modulus
","['mod', '##ulus']"
168,"experimentally
","['experimental', '##ly']"
169,"thermodynamic
","['the', '##rm', '##od', '##yna', '##mic']"
170,"##iy
","['i', '##y']"
171,"conduction
","['conduct', '##ion']"
172,"annulus
","['ann', '##ulus']"
173,"tubing
","['tub', '##ing']"
174,"hno
","['h', '##no']"
175,"##ies
","['ie', '##s']"
176,"stiffness
","['stiff', '##ness']"
177,"exchangers
","['exchange', '##rs']"
178,"ont
","['on', '##t']"
179,"aec
","['ae', '##c']"
180,"welds
","['we', '##ld', '##s']"
181,"acta
","['act', '##a']"
182,"dislocations
","['di', '##sl', '##ocation', '##s']"
183,"tion
","['ti', '##on']"
184,"enthalpy
","['en', '##thal', '##py']"
185,"##ite
","['it', '##e']"
186,"sie
","['si', '##e']"
187,"temp
","['te', '##mp']"
188,"impurities
","['imp', '##urities']"
189,"isothermal
","['iso', '##thermal']"
190,"ces
","['ce', '##s']"
191,"##oo
","['o', '##o']"
192,"brennstoff
","['br', '##en', '##nst', '##off']"
193,"wurden
","['wu', '##rden']"
194,"ftr
","['ft', '##r']"
195,"kann
","['kan', '##n']"
196,"densities
","['den', '##sities']"
197,"##ver
","['ve', '##r']"
198,"positron
","['po', '##sit', '##ron']"
199,"austenite
","['austen', '##ite']"
200,"molybdenum
","['mo', '##ly', '##b', '##den', '##um']"
201,"##ica
","['ic', '##a']"
202,"crosssection
","['cross', '##section']"
203,"ere
","['er', '##e']"
204,"isotopes
","['isotope', '##s']"
205,"ese
","['es', '##e']"
206,"uncertainties
","['uncertain', '##ties']"
207,"anlrdp
","['an', '##lr', '##dp']"
208,"ses
","['se', '##s']"
209,"tbp
","['tb', '##p']"
210,"anode
","['an', '##ode']"
211,"displacements
","['displacement', '##s']"
212,"velocities
","['ve', '##lo', '##cit', '##ies']"
213,"pfbr
","['p', '##fb', '##r']"
214,"chem
","['che', '##m']"
215,"nondestructive
","['non', '##des', '##truct', '##ive']"
216,"heaters
","['heat', '##ers']"
217,"##ls
","['l', '##s']"
218,"ageing
","['age', '##ing']"
219,"ent
","['en', '##t']"
220,"msec
","['ms', '##ec']"
221,"steadystate
","['steady', '##sta', '##te']"
222,"ttt
","['tt', '##t']"
223,"eocr
","['e', '##oc', '##r']"
224,"spacing
","['spa', '##cing']"
225,"annal
","['anna', '##l']"
226,"gradients
","['gradient', '##s']"
227,"zwischen
","['z', '##wi', '##schen']"
228,"thimble
","['th', '##im', '##ble']"
229,"excitation
","['ex', '##cit', '##ation']"
230,"pitting
","['pitt', '##ing']"
231,"perturbation
","['per', '##tur', '##bation']"
232,"##ous
","['ou', '##s']"
233,"impurity
","['imp', '##urity']"
234,"fluence
","['flu', '##ence']"
235,"##ated
","['ate', '##d']"
236,"porosity
","['por', '##osity']"
237,"##ization
","['i', '##zation']"
238,"gpa
","['gp', '##a']"
239,"cee
","['ce', '##e']"
240,"oot
","['o', '##ot']"
241,"compressive
","['com', '##pressive']"
242,"gripper
","['grip', '##per']"
243,"figs
","['fig', '##s']"
244,"criticality
","['critical', '##ity']"
245,"inconel
","['inc', '##one', '##l']"
246,"intergranular
","['inter', '##gra', '##nu', '##lar']"
247,"sintered
","['sin', '##tered']"
248,"fluoride
","['flu', '##ori', '##de']"
249,"##eg
","['e', '##g']"
250,"ornl
","['or', '##nl']"
251,"ete
","['et', '##e']"
252,"holddown
","['hold', '##down']"
253,"elongation
","['el', '##onga', '##tion']"
254,"anodic
","['an', '##od', '##ic']"
255,"attenuation
","['at', '##ten', '##uation']"
256,"negligible
","['ne', '##gli', '##gible']"
257,"circumferential
","['ci', '##rc', '##um', '##fer', '##ential']"
258,"geap
","['ge', '##ap']"
259,"precipitate
","['pre', '##ci', '##pit', '##ate']"
260,"tet
","['te', '##t']"
261,"amorphous
","['amor', '##ph', '##ous']"
262,"##oy
","['o', '##y']"
263,"##ov
","['o', '##v']"
264,"powders
","['powder', '##s']"
265,"##oe
","['o', '##e']"
266,"cadmium
","['cad', '##mium']"
267,"resistivity
","['resist', '##ivity']"
268,"mixtures
","['mixture', '##s']"
269,"irradiations
","['ir', '##rad', '##iation', '##s']"
270,"mockup
","['mock', '##up']"
271,"converter
","['convert', '##er']"
272,"allowable
","['allow', '##able']"
273,"zum
","['zu', '##m']"
274,"##lich
","['li', '##ch']"
275,"ost
","['os', '##t']"
276,"bild
","['bi', '##ld']"
277,"##ner
","['ne', '##r']"
278,"polarization
","['polar', '##ization']"
279,"tantalum
","['tan', '##tal', '##um']"
280,"einen
","['eine', '##n']"
281,"##ez
","['e', '##z']"
282,"baldev
","['bald', '##ev']"
283,"pore
","['por', '##e']"
284,"ees
","['ee', '##s']"
285,"condenser
","['conde', '##nse', '##r']"
286,"implantation
","['implant', '##ation']"
287,"réacteur
","['react', '##eur']"
288,"dieser
","['dies', '##er']"
289,"##tz
","['t', '##z']"
290,"##ary
","['ar', '##y']"
291,"psig
","['psi', '##g']"
292,"astm
","['as', '##tm']"
293,"##ium
","['i', '##um']"
294,"ene
","['en', '##e']"
295,"andor
","['and', '##or']"
296,"asme
","['as', '##me']"
297,"eines
","['eine', '##s']"
298,"##ber
","['be', '##r']"
299,"microstructures
","['micro', '##st', '##ru', '##cture', '##s']"
300,"##ure
","['ur', '##e']"
301,"martensite
","['mart', '##ens', '##ite']"
302,"druck
","['dr', '##uck']"
303,"haz
","['ha', '##z']"
304,"implanted
","['implant', '##ed']"
305,"##ew
","['e', '##w']"
306,"##zo
","['z', '##o']"
307,"mwt
","['mw', '##t']"
308,"##ized
","['i', '##zed']"
309,"potentials
","['potential', '##s']"
310,"neg
","['ne', '##g']"
311,"nous
","['no', '##us']"
312,"blockage
","['block', '##age']"
313,"cask
","['cas', '##k']"
314,"melts
","['melt', '##s']"
315,"nitride
","['ni', '##tri', '##de']"
316,"##tic
","['ti', '##c']"
317,"été
","['et', '##e']"
318,"porous
","['por', '##ous']"
319,"exp
","['ex', '##p']"
320,"##ons
","['on', '##s']"
321,"##sch
","['sc', '##h']"
322,"unirradiated
","['un', '##ir', '##rad', '##iated']"
323,"iodide
","['io', '##di', '##de']"
324,"subroutine
","['sub', '##rou', '##tine']"
325,"ducts
","['duct', '##s']"
326,"crucible
","['cr', '##ucible']"
327,"ihx
","['i', '##h', '##x']"
328,"centerline
","['center', '##line']"
329,"tot
","['to', '##t']"
330,"furthermor
","['further', '##mo', '##r']"
331,"roughness
","['rough', '##ness']"
332,"toughness
","['tough', '##ness']"
333,"twodimensional
","['two', '##dim', '##ens', '##ional']"
334,"##eo
","['e', '##o']"
335,"dis
","['di', '##s']"
336,"##ub
","['u', '##b']"
337,"spectrometer
","['spec', '##trom', '##eter']"
338,"temperatur
","['temper', '##at', '##ur']"
339,"zircaloy
","['z', '##ir', '##cal', '##oy']"
340,"##iz
","['i', '##z']"
341,"deflection
","['def', '##le', '##ction']"
342,"foils
","['foil', '##s']"
343,"##iw
","['i', '##w']"
344,"uot
","['u', '##ot']"
345,"##yy
","['y', '##y']"
346,"impedance
","['imp', '##edance']"
347,"stressstrain
","['stress', '##stra', '##in']"
348,"correlations
","['correlation', '##s']"
349,"sse
","['ss', '##e']"
350,"##xo
","['x', '##o']"
351,"xenon
","['x', '##eno', '##n']"
352,"apda
","['ap', '##da']"
353,"sss
","['ss', '##s']"
354,"sot
","['so', '##t']"
355,"tic
","['ti', '##c']"
356,"##uo
","['u', '##o']"
357,"conf
","['con', '##f']"
358,"##ler
","['le', '##r']"
359,"tritium
","['tri', '##tium']"
360,"puo
","['pu', '##o']"
361,"pores
","['por', '##es']"
362,"crossmark
","['cross', '##mark']"
363,"hexcan
","['he', '##x', '##can']"
364,"postirradiation
","['post', '##ir', '##rad', '##iation']"
365,"dampf
","['damp', '##f']"
366,"transducers
","['trans', '##du', '##cer', '##s']"
367,"tamilnadu
","['tamil', '##nad', '##u']"
368,"gaseous
","['gas', '##eous']"
369,"wasser
","['was', '##ser']"
370,"alloying
","['alloy', '##ing']"
371,"convective
","['con', '##ve', '##ctive']"
372,"etwa
","['et', '##wa']"
373,"sefor
","['se', '##for']"
374,"ree
","['re', '##e']"
375,"isotopic
","['iso', '##top', '##ic']"
376,"nacl
","['na', '##cl']"
377,"##hl
","['h', '##l']"
378,"ase
","['as', '##e']"
379,"mou
","['mo', '##u']"
380,"ote
","['ot', '##e']"
381,"eae
","['ea', '##e']"
382,"sodiumcooled
","['sodium', '##co', '##ole', '##d']"
383,"vaporization
","['vapor', '##ization']"
384,"eutectic
","['eu', '##tec', '##tic']"
385,"##yl
","['y', '##l']"
386,"##nn
","['n', '##n']"
387,"instrumented
","['instrument', '##ed']"
388,"tes
","['te', '##s']"
389,"##ement
","['em', '##ent']"
390,"radioactivity
","['radio', '##act', '##ivity']"
391,"##zt
","['z', '##t']"
392,"radiolog
","['radio', '##log']"
393,"nozzles
","['no', '##zzle', '##s']"
394,"sintering
","['sin', '##tering']"
395,"alkali
","['al', '##kali']"
396,"ber
","['be', '##r']"
397,"cathodic
","['cat', '##ho', '##dic']"
398,"##eq
","['e', '##q']"
399,"##ys
","['y', '##s']"
400,"condensation
","['conde', '##ns', '##ation']"
401,"##ux
","['u', '##x']"
402,"parametric
","['para', '##metric']"
403,"adsorption
","['ads', '##or', '##ption']"
404,"fbr
","['f', '##br']"
405,"bellows
","['bell', '##ows']"
406,"longterm
","['long', '##ter', '##m']"
407,"aan
","['aa', '##n']"
408,"diffusivity
","['di', '##ff', '##us', '##ivity']"
409,"ool
","['o', '##ol']"
410,"phonon
","['ph', '##ono', '##n']"
411,"##oa
","['o', '##a']"
412,"feedwater
","['feed', '##water']"
413,"##aq
","['a', '##q']"
414,"spacer
","['space', '##r']"
415,"fer
","['fe', '##r']"
416,"niobium
","['ni', '##ob', '##ium']"
417,"ane
","['an', '##e']"
418,"evaporation
","['eva', '##por', '##ation']"
419,"solidification
","['solid', '##ification']"
420,"fractions
","['fraction', '##s']"
421,"vacancies
","['va', '##can', '##cies']"
422,"oscillator
","['os', '##ci', '##lla', '##tor']"
423,"peut
","['pe', '##ut']"
424,"cavities
","['ca', '##vi', '##ties']"
425,"embrittlement
","['em', '##bri', '##ttle', '##ment']"
426,"laminar
","['lam', '##ina', '##r']"
427,"pud
","['pu', '##d']"
428,"ternary
","['ter', '##nary']"
429,"extrapolation
","['extra', '##pol', '##ation']"
430,"diameters
","['diameter', '##s']"
431,"sto
","['st', '##o']"
432,"plugging
","['plug', '##ging']"
433,"actinides
","['act', '##ini', '##des']"
434,"dosimetry
","['dos', '##ime', '##try']"
435,"duplex
","['du', '##plex']"
436,"ment
","['men', '##t']"
437,"cece
","['ce', '##ce']"
438,"tubesheet
","['tubes', '##hee', '##t']"
439,"##ens
","['en', '##s']"
440,"##vd
","['v', '##d']"
441,"neithe
","['ne', '##ith', '##e']"
442,"cor
","['co', '##r']"
443,"étre
","['et', '##re']"
444,"##py
","['p', '##y']"
445,"entre
","['en', '##tre']"
446,"intensities
","['int', '##ens', '##ities']"
447,"coo
","['co', '##o']"
448,"mudali
","['mud', '##ali']"
449,"##ere
","['er', '##e']"
450,"calibrated
","['cal', '##ib', '##rated']"
451,"ans
","['an', '##s']"
452,"solute
","['sol', '##ute']"
453,"cette
","['ce', '##tte']"
454,"##ier
","['ie', '##r']"
455,"kerntechnik
","['kern', '##tech', '##nik']"
456,"rsn
","['rs', '##n']"
457,"avec
","['ave', '##c']"
458,"metallographic
","['metal', '##log', '##raphic']"
459,"jahrestagung
","['ja', '##hre', '##sta', '##gun', '##g']"
460,"buildup
","['build', '##up']"
461,"soe
","['so', '##e']"
462,"noch
","['no', '##ch']"
463,"##dy
","['d', '##y']"
464,"sta
","['st', '##a']"
465,"analyzer
","['analyze', '##r']"
466,"##ses
","['se', '##s']"
467,"thermo
","['the', '##rm', '##o']"
468,"susceptibility
","['su', '##sc', '##ept', '##ibility']"
469,"nde
","['n', '##de']"
470,"##machi
","['mach', '##i']"
471,"lcf
","['lc', '##f']"
472,"##pos
","['po', '##s']"
473,"teo
","['te', '##o']"
474,"damping
","['damp', '##ing']"
475,"thermally
","['thermal', '##ly']"
476,"iiber
","['ii', '##ber']"
477,"malfunction
","['mal', '##fu', '##nction']"
478,"vibrational
","['vibration', '##al']"
479,"micrograph
","['micro', '##graph']"
480,"analysed
","['anal', '##yse', '##d']"
481,"micrographs
","['micro', '##graphs']"
482,"scatter
","['sc', '##atter']"
483,"##kt
","['k', '##t']"
484,"gpm
","['gp', '##m']"
485,"dimensionless
","['dimension', '##less']"
486,"loadings
","['loading', '##s']"
487,"##tl
","['t', '##l']"
488,"sut
","['su', '##t']"
489,"nanocrystalline
","['nano', '##cr', '##yst', '##all', '##ine']"
490,"onedimensional
","['one', '##dim', '##ens', '##ional']"
491,"##ene
","['en', '##e']"
492,"bead
","['bea', '##d']"
493,"twophase
","['two', '##pha', '##se']"
494,"spectrometry
","['spec', '##trom', '##et', '##ry']"
495,"luminescence
","['lu', '##mine', '##sc', '##ence']"
496,"dilution
","['dil', '##ution']"
497,"vom
","['vo', '##m']"
498,"benchmark
","['bench', '##mark']"
499,"etr
","['et', '##r']"
500,"##ien
","['ie', '##n']"
501,"doped
","['do', '##ped']"
502,"interstitial
","['inter', '##sti', '##tial']"
503,"tit
","['ti', '##t']"
504,"beim
","['bei', '##m']"
505,"proc
","['pro', '##c']"
506,"orifice
","['or', '##ifice']"
507,"ssa
","['ss', '##a']"
508,"##tion
","['ti', '##on']"
509,"phys
","['ph', '##ys']"
510,"rem
","['re', '##m']"
511,"heattransfer
","['heat', '##tra', '##ns', '##fer']"
512,"machining
","['mach', '##ining']"
513,"computations
","['computation', '##s']"
514,"volumetric
","['volume', '##tric']"
515,"radiography
","['radio', '##graphy']"
516,"enric
","['en', '##ric']"
517,"brennelement
","['br', '##enne', '##lem', '##ent']"
518,"sno
","['s', '##no']"
519,"sio
","['si', '##o']"
520,"increment
","['inc', '##rem', '##ent']"
521,"incore
","['inc', '##ore']"
522,"fastneutron
","['fast', '##ne', '##ut', '##ron']"
523,"flowrate
","['flow', '##rate']"
524,"cos
","['co', '##s']"
525,"aerosols
","['aero', '##sol', '##s']"
526,"fuelelement
","['fuel', '##ele', '##ment']"
527,"geometries
","['geo', '##met', '##ries']"
528,"intermetallic
","['inter', '##met', '##all', '##ic']"
529,"##ard
","['ar', '##d']"
530,"##ug
","['u', '##g']"
531,"appreciable
","['app', '##re', '##cia', '##ble']"
532,"electrolysis
","['electro', '##lysis']"
533,"pressurized
","['press', '##urized']"
534,"hier
","['hi', '##er']"
535,"##ei
","['e', '##i']"
536,"damit
","['dam', '##it']"
537,"##nb
","['n', '##b']"
538,"##wn
","['w', '##n']"
539,"##eee
","['ee', '##e']"
540,"sicherheits
","['sic', '##her', '##hei', '##ts']"
541,"dielectric
","['die', '##le', '##ctric']"
542,"##ht
","['h', '##t']"
543,"vanadium
","['van', '##adi', '##um']"
544,"silica
","['si', '##lica']"
545,"fci
","['fc', '##i']"
546,"##ial
","['ia', '##l']"
547,"inelastic
","['in', '##ela', '##stic']"
548,"amer
","['am', '##er']"
549,"##bl
","['b', '##l']"
550,"##ati
","['at', '##i']"
551,"ayy
","['a', '##y', '##y']"
552,"##zy
","['z', '##y']"
553,"aun
","['au', '##n']"
554,"helical
","['he', '##lica', '##l']"
555,"deg
","['de', '##g']"
556,"##tes
","['te', '##s']"
557,"pur
","['pu', '##r']"
558,"hydroxide
","['hydro', '##xide']"
559,"##tp
","['t', '##p']"
560,"ele
","['el', '##e']"
561,"##ence
","['en', '##ce']"
562,"dsr
","['ds', '##r']"
563,"sputtering
","['sp', '##utter', '##ing']"
564,"interfaci
","['inter', '##fa', '##ci']"
565,"xxx
","['xx', '##x']"
566,"eau
","['ea', '##u']"
567,"##hy
","['h', '##y']"
568,"equilibration
","['e', '##quil', '##ib', '##ration']"
569,"##ise
","['is', '##e']"
570,"inclusions
","['inclusion', '##s']"
571,"detectable
","['detect', '##able']"
572,"wastage
","['was', '##tage']"
573,"machined
","['machine', '##d']"
574,"shim
","['shi', '##m']"
575,"##zz
","['z', '##z']"
576,"buckling
","['buck', '##ling']"
577,"environ
","['en', '##vir', '##on']"
578,"msre
","['ms', '##re']"
579,"serrations
","['serra', '##tions']"
580,"abb
","['ab', '##b']"
581,"bre
","['br', '##e']"
582,"##threedimensional
","['three', '##dim', '##ens', '##ional']"
583,"optimized
","['opt', '##imi', '##zed']"
584,"##ised
","['is', '##ed']"
585,"emf
","['em', '##f']"
586,"eet
","['ee', '##t']"
587,"amplitudes
","['amplitude', '##s']"
588,"##ize
","['i', '##ze']"
589,"beryllium
","['be', '##ryl', '##lium']"
590,"teil
","['te', '##il']"
591,"zno
","['z', '##no']"
592,"tra
","['tr', '##a']"
593,"jayakumar
","['jaya', '##kumar']"
594,"##ées
","['ee', '##s']"
595,"##ese
","['es', '##e']"
596,"sch
","['sc', '##h']"
597,"annihilation
","['ann', '##ih', '##ilation']"
598,"usaec
","['usa', '##ec']"
599,"jedoc
","['jed', '##oc']"
600,"volts
","['vol', '##ts']"
601,"mils
","['mil', '##s']"
602,"##ete
","['et', '##e']"
603,"fissions
","['fission', '##s']"
604,"fouling
","['foul', '##ing']"
605,"cesium
","['ce', '##si', '##um']"
606,"geometrical
","['geometric', '##al']"
607,"str
","['st', '##r']"
608,"calculational
","['calculation', '##al']"
609,"babcock
","['ba', '##bc', '##ock']"
610,"bur
","['bu', '##r']"
611,"depletion
","['de', '##ple', '##tion']"
612,"ott
","['ot', '##t']"
613,"molar
","['mo', '##lar']"
614,"spe
","['sp', '##e']"
615,"ndt
","['n', '##dt']"
616,"##sse
","['ss', '##e']"
617,"colloidal
","['col', '##loid', '##al']"
618,"weldment
","['we', '##ld', '##ment']"
619,"sti
","['st', '##i']"
620,"hastelloy
","['haste', '##llo', '##y']"
621,"wastes
","['waste', '##s']"
622,"ferromagnetic
","['fe', '##rro', '##ma', '##gne', '##tic']"
623,"deviations
","['deviation', '##s']"
624,"sst
","['ss', '##t']"
625,"##ert
","['er', '##t']"
626,"nusselt
","['nu', '##ssel', '##t']"
627,"rad
","['ra', '##d']"
628,"voiding
","['void', '##ing']"
629,"##eur
","['eu', '##r']"
630,"##vy
","['v', '##y']"
631,"sso
","['ss', '##o']"
632,"energie
","['en', '##er', '##gie']"
633,"feo
","['fe', '##o']"
634,"sehr
","['se', '##hr']"
635,"##ino
","['in', '##o']"
636,"##qo
","['q', '##o']"
637,"oscillations
","['os', '##ci', '##llation', '##s']"
638,"een
","['ee', '##n']"
639,"msv
","['ms', '##v']"
640,"ftir
","['ft', '##ir']"
641,"postulated
","['post', '##ulated']"
642,"quenched
","['que', '##nched']"
643,"dsa
","['ds', '##a']"
644,"stoichiometric
","['st', '##oic', '##hi', '##ometric']"
645,"eer
","['ee', '##r']"
646,"flowmeter
","['flow', '##meter']"
647,"kénnen
","['ken', '##nen']"
648,"pwht
","['p', '##w', '##ht']"
649,"magnetization
","['magnet', '##ization']"
650,"##tet
","['te', '##t']"
651,"eqs
","['e', '##q', '##s']"
652,"mee
","['me', '##e']"
653,"##ces
","['ce', '##s']"
654,"ionization
","['ion', '##ization']"
655,"crbrp
","['cr', '##br', '##p']"
656,"inst
","['ins', '##t']"
657,"##ini
","['in', '##i']"
658,"satisfactorily
","['sat', '##is', '##fa', '##ctor', '##ily']"
659,"cre
","['cr', '##e']"
660,"cet
","['ce', '##t']"
661,"zwei
","['z', '##wei']"
662,"sel
","['se', '##l']"
663,"usefulness
","['useful', '##ness']"
664,"dab
","['da', '##b']"
665,"msbr
","['ms', '##br']"
666,"mcbr
","['mc', '##br']"
667,"mixedoxide
","['mixed', '##oxide']"
668,"ort
","['or', '##t']"
669,"tig
","['ti', '##g']"
670,"rapides
","['rapid', '##es']"
671,"##halb
","['hal', '##b']"
672,"hydrodynamic
","['hydro', '##dy', '##nami', '##c']"
673,"sou
","['so', '##u']"
674,"ine
","['in', '##e']"
675,"unloading
","['un', '##loading']"
676,"##ws
","['w', '##s']"
677,"sor
","['so', '##r']"
678,"tiber
","['ti', '##ber']"
679,"procedi
","['pro', '##ced', '##i']"
680,"multigroup
","['multi', '##group']"
681,"plugs
","['plug', '##s']"
682,"jap
","['ja', '##p']"
683,"outofpile
","['out', '##of', '##pile']"
684,"isotropic
","['iso', '##tro', '##pic']"
685,"decontamination
","['deco', '##nta', '##mina', '##tion']"
686,"insure
","['ins', '##ure']"
687,"cfd
","['cf', '##d']"
688,"anlage
","['an', '##lage']"
689,"##ect
","['ec', '##t']"
690,"##ors
","['or', '##s']"
691,"palladium
","['pal', '##lad', '##ium']"
692,"condensate
","['conde', '##ns', '##ate']"
693,"##gh
","['g', '##h']"
694,"##xe
","['x', '##e']"
695,"naoh
","['na', '##oh']"
696,"adjoint
","['ad', '##jo', '##int']"
697,"iop
","['io', '##p']"
698,"##oc
","['o', '##c']"
699,"insulated
","['ins', '##ulated']"
700,"cen
","['ce', '##n']"
